ticket_number,issued_date,location,description,status,dayofweek,hourofday,lat,lon,count,amount
369478D,2023/01/01 20:17:00+00,300 BUCKINGHAM AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,20,43.030148,-76.121252,1,25
369479D,2023/01/01 20:21:00+00,200 KENSINGTON RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Sunday,20,43.032058,-76.122572,1,60
369480D,2023/01/01 20:23:00+00,200 KENSINGTON RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Sunday,20,43.032058,-76.122572,1,60
389521D,2023/01/01 20:27:00+00,200 KENSINGTON RD,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,20,43.032058,-76.122572,1,25
389522D,2023/01/01 20:29:00+00,200 KENSINGTON RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Sunday,20,43.032058,-76.122572,1,60
389523D,2023/01/01 20:31:00+00,200 KENSINGTON RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Sunday,20,43.032058,-76.122572,1,60
389524D,2023/01/01 20:34:00+00,200 KENSINGTON RD,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Fourth Notice,Sunday,20,43.032058,-76.122572,1,25
396002D,2023/01/02 08:58:00+00,100 MARIPOSA ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,8,43.06188,-76.122292,1,60
389529D,2023/01/01 20:51:00+00,300 KENSINGTON RD,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,20,43.0320166,-76.1211029,1,10
394356D,2023/01/02 09:08:00+00,500 CRAIG ST,NO STOPPING 6 AM - 6 PM CO15-364,Paid In Full,Monday,9,43.071973,-76.144931,1,25
389525D,2023/01/01 20:39:00+00,100 BUCKINGHAM AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,20,43.03349135,-76.12227665,1,25
389526D,2023/01/01 20:42:00+00,100 BUCKINGHAM AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,20,43.03349135,-76.12227665,1,25
389528D,2023/01/01 20:49:00+00,300 KENSINGTON RD,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,20,43.0320166,-76.1211029,1,25
389530D,2023/01/01 21:00:00+00,100 KENSINGTON PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Sunday,21,43.031489,-76.12001,1,60
389531D,2023/01/01 21:02:00+00,100 KENSINGTON PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Sunday,21,43.031489,-76.12001,1,60
389532D,2023/01/01 21:05:00+00,100 KENSINGTON PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Sunday,21,43.031489,-76.12001,1,60
389533D,2023/01/01 21:07:00+00,100 KENSINGTON PL,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Sunday,21,43.031489,-76.12001,1,25
389534D,2023/01/01 21:14:00+00,800 MARYLAND AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Sunday,21,43.03650915,-76.12054507283808,1,25
389535D,2023/01/01 21:15:00+00,800 MARYLAND AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,21,43.03650915,-76.12054507283808,1,25
389536D,2023/01/01 21:20:00+00,900 MARYLAND AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,21,43.0345936,-76.12037769785488,1,25
389537D,2023/01/01 21:22:00+00,900 MARYLAND AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Adjudication Partial ,Sunday,21,43.0345936,-76.12037769785488,1,10
389538D,2023/01/01 21:26:00+00,100 KENSINGTON RD,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Sunday,21,43.032002,-76.1238,1,25
389540D,2023/01/01 21:33:00+00,1000 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Sunday,21,43.0334685,-76.1189433,1,60
389541D,2023/01/01 21:36:00+00,200 JEROME ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Sunday,21,43.033557,-76.117246,1,60
389542D,2023/01/01 21:39:00+00,200 JEROME ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Promise To Pay,Sunday,21,43.033557,-76.117246,1,60
373484D,2023/01/01 01:01:00+00,300 GENESEE ST W,NO STOPPING ANY TIME CO15-316 (A)14,Paid In Full,Sunday,1,43.0485203,-76.2427812,1,25
389543D,2023/01/01 21:40:00+00,200 JEROME ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Promise To Pay,Sunday,21,43.033557,-76.117246,1,25
389544D,2023/01/01 21:45:00+00,300 ROOSEVELT AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Sunday,21,43.0334904,-76.1176299,1,25
389547D,2023/01/01 21:56:00+00,300 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Sunday,21,43.0334904,-76.1176299,1,60
389549D,2023/01/01 21:53:00+00,100 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Sunday,21,43.036737,-76.117807,1,60
389550D,2023/01/01 23:00:00+00,100 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Sunday,23,43.036737,-76.117807,1,60
373485D,2023/01/01 01:03:00+00,300 GENESEE ST W,FIRE HYDRANT/ALL TIMES CO15-316 (A)4,Fourth Notice,Sunday,1,43.0485203,-76.2427812,1,60
376220D,2023/01/02 04:18:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,4,43.113505702811246,-76.11989651004016,1,25
376221D,2023/01/02 04:19:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Monday,4,43.113505702811246,-76.11989651004016,1,25
376222D,2023/01/02 04:20:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,4,43.113505702811246,-76.11989651004016,1,25
394113D,2023/01/02 08:47:00+00,100 LAWRENCE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,8,43.068886,-76.149485,1,60
376223D,2023/01/02 04:22:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,4,43.113505702811246,-76.11989651004016,1,25
394114D,2023/01/02 08:51:00+00,100 DELONG AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,8,43.069985,-76.150154,1,60
394353D,2023/01/02 08:41:00+00,100 LAWRENCE ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Paid In Full,Monday,8,43.068886,-76.149485,1,25
3994355D,2023/01/02 08:54:00+00,100 CLEVELAND AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Void Approved,Monday,8,43.0685292,-76.1462724,1,0
392243D,2023/01/01 01:01:00+00,300 GENESEE ST W,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Fourth Notice,Sunday,1,43.0485203,-76.2427812,1,25
395976D,2023/01/02 23:07:00+00,100 CANDEE AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,23,43.048391,-76.105114,1,60
394119D,2023/01/02 09:37:00+00,1100 OAK ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,Monday,9,43.0669933,-76.1361763,1,60
394359D,2023/01/02 09:31:00+00,1100 OAK ST,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Adjudication Pending ,Monday,9,43.0669933,-76.1361763,1,25
394355D,2023/01/02 08:54:00+00,100 CLEVELAND AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Monday,8,43.0685292,-76.1462724,1,60
394118D,2023/01/02 09:33:00+00,1100 OAK ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,9,43.0669933,-76.1361763,1,60
394360D,2023/01/02 10:54:00+00,100 MILDRED AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,10,43.068153,-76.116619,1,60
394357D,2023/01/02 14:19:00+00,500 CRAIG ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,14,43.071973,-76.144931,1,60
394115D,2023/01/02 09:13:00+00,500 CRATON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,9,43.0567897,-76.123486,1,60
395995D,2023/01/03 00:12:00+00,700 ALLEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,0,43.0388235,-76.1166619,1,60
376226D,2023/01/03 04:44:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Adjudication Approved,Tuesday,4,43.113505702811246,-76.11989651004016,1,0
396004D,2023/01/02 09:11:00+00,300 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,9,43.045404,-76.119783,1,60
395965D,2023/01/02 22:34:00+00,100 FENWAY DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,22,43.050491,-76.11087,1,60
392568D,2023/01/02 18:05:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Monday,18,43.113505702811246,-76.11989651004016,1,25
371241D,2023/01/02 11:25:00+00,1500 CALEB AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,11,43.0616031,-76.0968222,1,60
392566D,2023/01/02 12:00:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,12,43.113505702811246,-76.11989651004016,1,25
392571D,2023/01/02 14:12:00+00,1000  EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,14,0.0,0.0,1,25
392346D,2023/01/02 09:11:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,9,43.113505702811246,-76.11989651004016,1,25
392569D,2023/01/02 18:19:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Fourth Notice,Monday,18,43.113505702811246,-76.11989651004016,1,25
395964D,2023/01/02 22:33:00+00,2300 FAYETTE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Monday,22,43.048168,-76.111425,1,60
376224D,2023/01/02 12:20:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Monday,12,43.113505702811246,-76.11989651004016,1,25
395967D,2023/01/02 22:42:00+00,200 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Monday,22,43.0482071,-76.1096112,1,60
395969D,2023/01/02 22:48:00+00,20 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,22,43.047895,-76.10935,1,60
395968D,2023/01/02 22:45:00+00,200 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,22,43.0482071,-76.1096112,1,60
395970D,2023/01/02 22:57:00+00,200 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,22,43.0482071,-76.1096112,1,60
395971D,2023/01/02 22:55:00+00,100 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Monday,22,43.050416,-76.1098451,1,60
395972D,2023/01/02 22:56:00+00,200 GENESEE PK DR,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,Monday,22,43.0482071,-76.1096112,1,25
395975D,2023/01/02 23:03:00+00,2700 FAYETTE ST E,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Monday,23,43.048446,-76.104836,1,60
392347D,2023/01/02 14:32:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Monday,14,43.113505702811246,-76.11989651004016,1,25
395973D,2023/01/02 22:58:00+00,100 GENESEE PK DR,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Monday,22,43.050416,-76.1098451,1,60
392349D,2023/01/02 17:45:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Paid In Full,Monday,17,43.113505702811246,-76.11989651004016,1,25
392348D,2023/01/02 15:44:00+00,1000 EILEEN COLLINS BLVD,NO PARKING ANY TIME CO15-316 (A)14,Issued,Monday,15,43.113505702811246,-76.11989651004016,1,25
395974D,2023/01/02 22:59:00+00,100 GENESEE PK DR,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,Monday,22,43.050416,-76.1098451,1,25
395978D,2023/01/02 23:14:00+00,100 DIDAMA ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,23,43.046506,-76.10787,1,60
395977D,2023/01/02 23:11:00+00,200 CANDEE AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,23,43.047526,-76.105044,1,60
395979D,2023/01/02 23:17:00+00,400 ELLIS ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,23,43.0470968,-76.1137712,1,60
395980D,2023/01/02 23:19:00+00,400 ELLIS ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,23,43.0470968,-76.1137712,1,60
395981D,2023/01/02 23:27:00+00,400 WESTCOTT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Monday,23,43.0438663,-76.1198046,1,60
395984D,2023/01/02 23:35:00+00,100 CAMBRIDGE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,23,43.045412,-76.118227,1,60
395983D,2023/01/02 23:30:00+00,400 WESTCOTT ST,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,Monday,23,43.0438663,-76.1198046,1,25
395987D,2023/01/02 23:37:00+00,100 CAMBRIDGE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,23,43.045412,-76.118227,1,60
395988D,2023/01/02 23:48:00+00,700 MARYLAND AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,23,43.038331,-76.1207114,1,60
395985D,2023/01/02 23:31:00+00,100 CAMBRIDGE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,23,43.045412,-76.118227,1,60
395990D,2023/01/02 23:59:00+00,800 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,23,43.036473,-76.123268,1,60
395989D,2023/01/02 23:50:00+00,800 LANCASTER AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Approved,Monday,23,43.036473,-76.123268,1,0
395991D,2023/01/02 23:57:00+00,200 KENSINGTON PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,23,43.0301396,-76.119975,1,60
394117D,2023/01/02 09:27:00+00,1300 OAK ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Promise To Pay,Monday,9,43.0695279,-76.1363231,1,60
377056D,2023/01/02 19:42:00+00,109 EDWARDS AVE N,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Monday,19,43.06907452840037,-76.10656575304348,1,60
340108D,2023/01/02 18:30:00+00,403 SEYMOUR ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Monday,18,43.042097,-76.16425,1,60
394120D,2023/01/02 10:44:00+00,400 HELEN ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Monday,10,43.0670725,-76.1350547,1,60
371244D,2023/01/02 11:40:00+00,1500 CALEB AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Monday,11,43.0616031,-76.0968222,1,60
381321D,2023/01/02 11:03:00+00,300 MILDRED AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,Monday,11,43.0698907,-76.1201803,1,60
394358D,2023/01/02 09:20:00+00,1300 OAK ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Monday,9,43.0695279,-76.1363231,1,60
391201D,2023/01/03 06:34:00+00,100 SCHULER ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,6,43.059873,-76.124377,1,60
391203D,2023/01/03 06:36:00+00,kfd6789 WINTON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,6,0.0,0.0,1,60
391202D,2023/01/03 06:36:00+00,800 WINTON ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,6,43.060071,-76.124666,1,60
3911204D,2023/01/03 06:43:00+00,100 ELDORADO ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,6,43.063417,-76.122402,1,60
391205D,2023/01/03 06:43:00+00,100 ELDORADO ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,6,43.063417,-76.122402,1,60
391206D,2023/01/03 06:46:00+00,100 MOONEY AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,6,43.0626293,-76.1218273,1,60
391207D,2023/01/03 06:59:00+00,300 DURSTON AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,6,43.067486,-76.127071,1,60
395996D,2023/01/03 00:16:00+00,1100 EUCLID AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,0,43.0368345,-76.1149259,1,60
395993D,2023/01/03 00:05:00+00,200 ROOSEVELT AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Promise To Pay,Tuesday,0,43.0354067,-76.1178868,1,60
395994D,2023/01/03 00:07:00+00,200 ROOSEVELT AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Promise To Pay,Tuesday,0,43.0354067,-76.1178868,1,25
395997D,2023/01/03 00:17:00+00,1100 EUCLID AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,0,43.0368345,-76.1149259,1,60
391204D,2023/01/03 06:43:00+00,100 ELDORADO ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,6,43.063417,-76.122402,1,60
395947D,2023/01/03 00:00:00+00, UNKNOWN,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,Tuesday,0,0.0,0.0,1,25
23500001,2023/01/03 09:57:00+00,300 FORMAN AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,9,43.048391,-76.140049,1,60
23500003,2023/01/03 10:00:00+00,300 FORMAN AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.048391,-76.140049,1,60
23500002,2023/01/03 09:57:00+00,300 FORMAN AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Fourth Notice,Tuesday,9,43.048391,-76.140049,1,25
23500005,2023/01/03 10:01:00+00,300 FORMAN AVE,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Issued,Tuesday,10,43.048391,-76.140049,1,25
23500004,2023/01/03 10:01:00+00,300 FORMAN AVE,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Issued,Tuesday,10,43.048391,-76.140049,1,25
23500006,2023/01/03 10:03:00+00,300 FORMAN AVE,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Paid In Full,Tuesday,10,43.048391,-76.140049,1,25
23500007,2023/01/03 10:04:00+00,300 FORMAN AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.048391,-76.140049,1,60
230700001,2023/01/03 10:15:00+00,200 HILLSIDE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.076942,-76.142648,1,60
230700002,2023/01/03 10:17:00+00,100 LOMA AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Denied ,Tuesday,10,43.077605,-76.142159,1,60
23500010,2023/01/03 10:16:00+00,900 FAYETTE ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Tuesday,10,43.0484055,-76.1374615,1,25
23500011,2023/01/03 10:19:00+00,900 FAYETTE ST E,UNREGSTRD/UNAFFIXD/ALL VTL401-1/403-1,Fourth Notice,Tuesday,10,43.0484055,-76.1374615,1,25
23500009,2023/01/03 10:12:00+00,900 FAYETTE ST E,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Tuesday,10,43.0484055,-76.1374615,1,25
23500008,2023/01/03 10:11:00+00,900 FAYETTE ST E,ODD/EVEN PARKING APR-OCT CO15-318 (A)2,Issued,Tuesday,10,43.0484055,-76.1374615,1,25
230700003,2023/01/03 10:20:00+00,1700 COURT ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.0792271,-76.1444281,1,60
230700004,2023/01/03 10:21:00+00,1700 COURT ST,NO STPNG HERE TO CNR/ALL CO15-316(A)6,Paid In Full,Tuesday,10,43.0792271,-76.1444281,1,25
230700005,2023/01/03 10:27:00+00,300 HARFORD RD,UNINSPECTED/ ALL TIMES VTL 306-B,Issued,Tuesday,10,43.08332,-76.145087,1,25
230700006,2023/01/03 10:27:00+00,300 HARFORD RD,LEFT WHEELS TO CURB/ALL CO15-301,Issued,Tuesday,10,43.08332,-76.145087,1,25
230700007,2023/01/03 10:27:00+00,300 HARFORD RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,Tuesday,10,43.08332,-76.145087,1,60
23500012,2023/01/03 10:26:00+00,105 ASHWORTH PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Approved,Tuesday,10,43.0478935,-76.1338586832544,1,0
23500013,2023/01/03 10:28:00+00,100 ASHWORTH PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Adjudication Pending ,Tuesday,10,43.047635,-76.134138,1,60
231500002,2023/01/03 10:29:00+00,100 BURNET AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.052202,-76.147976,1,60
231500001,2023/01/03 10:28:00+00,100 BURNET AVE,UNINSPECTED/ ALL TIMES VTL 306-B,Paid In Full,Tuesday,10,43.052202,-76.147976,1,25
231500004,2023/01/03 10:36:00+00,100 WAYNE ST,UNINSPECTED/ ALL TIMES VTL 306-B,Issued,Tuesday,10,43.0541216,-76.1421976,1,25
231500003,2023/01/03 10:30:00+00,100 BURNET AVE,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Fourth Notice,Tuesday,10,43.052202,-76.147976,1,60
231500005,2023/01/03 10:36:00+00,100 WAYNE ST,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,Tuesday,10,43.0541216,-76.1421976,1,60
230700008,2023/01/03 10:34:00+00,100 CHATHAM PL,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Paid In Full,Tuesday,10,43.0820519,-76.1446852,1,60
230700009,2023/01/03 10:38:00+00,300 HARFORD RD,ODD/EVEN PARKING NOV-MAR CO15-318 (A)2,Issued,Tuesday,10,43.08332,-76.145087,1,60
